num_estimator,frac,voting,train_acc,val_acc,model,bootstrap
3,0.5,hard,0.6283762309014784,0.47696045458073555,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",False
3,0.5,hard,0.8677780531050832,0.7725138498240195,<__main__.DecisionTree object at 0x7f950cae8520>,False
3,0.5,soft,0.7240097463981339,0.7031375369728146,"Layer: [in:13] [out:1] [activation:Linear]
",True
3,0.5,soft,0.6804521215442787,0.6080753526939993,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",True
3,0.5,soft,0.8771052713594762,0.5983890673371131,<__main__.DecisionTree object at 0x7f950cae8520>,True
3,0.5,soft,0.7247345804930496,0.7352062728617532,"Layer: [in:13] [out:1] [activation:Linear]
",False
3,0.5,soft,0.6128144019372939,0.5953977305635046,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",False
3,0.5,soft,0.8437056823581942,0.7489535251041188,<__main__.DecisionTree object at 0x7f950cae8520>,False
5,0.15,hard,0.7002637346520855,0.6650442932000533,"Layer: [in:13] [out:1] [activation:Linear]
",True
5,0.15,hard,-0.04599930332533786,-0.7815130669989199,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",True
5,0.15,hard,0.8186007960022712,0.7205342463920603,<__main__.DecisionTree object at 0x7f950cae8520>,True
5,0.15,hard,0.7065404544245949,0.7961653910012918,"Layer: [in:13] [out:1] [activation:Linear]
",False
5,0.15,hard,0.011643437139836399,-0.7601957351169599,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",False
5,0.15,hard,0.7707512327468802,0.597364510223643,<__main__.DecisionTree object at 0x7f950cae8520>,False
5,0.15,soft,0.678890642887167,0.7675313467949137,"Layer: [in:13] [out:1] [activation:Linear]
",True
5,0.15,soft,0.0022070766187760604,-0.7935357626166717,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",True
5,0.15,soft,0.7734329362731989,0.645761013402609,<__main__.DecisionTree object at 0x7f950cae8520>,True
5,0.15,soft,0.6960446221565721,0.7008657636376201,"Layer: [in:13] [out:1] [activation:Linear]
",False
5,0.15,soft,0.11425515889777216,-0.23259406341993416,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",False
5,0.15,soft,0.7806678337945488,0.6572444086623586,<__main__.DecisionTree object at 0x7f950cae8520>,False
5,0.25,hard,0.7115955616996956,0.7447414624252346,"Layer: [in:13] [out:1] [activation:Linear]
",True
5,0.25,hard,0.4710104828423338,0.20569985589756634,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",True
5,0.25,hard,0.8028717203240647,0.7268463076755773,<__main__.DecisionTree object at 0x7f950cae8520>,True
5,0.25,hard,0.7194302091954563,0.6831688984979059,"Layer: [in:13] [out:1] [activation:Linear]
",False
5,0.25,hard,0.509286072316256,0.25294544125395857,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",False
5,0.25,hard,0.8371836707466497,0.7515314080513105,<__main__.DecisionTree object at 0x7f950cae8520>,False
5,0.25,soft,0.7102201771464617,0.7850244530850645,"Layer: [in:13] [out:1] [activation:Linear]
",True
5,0.25,soft,0.46094370622255865,0.23033758368735668,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",True
5,0.25,soft,0.8410890747162848,0.8002669668981184,<__main__.DecisionTree object at 0x7f950cae8520>,True
5,0.25,soft,0.7148758607228228,0.6934937375380581,"Layer: [in:13] [out:1] [activation:Linear]
",False
5,0.25,soft,0.43725171832301457,0.38075758112606717,"Layer: [in:13] [out:16] [activation:Tanh]
Layer: [in:16] [out:16] [activation:ReLU]
Layer: [in:16] [out:1] [activation:Linear]
",False
5,0.25,soft,0.8308009293848174,0.6675843704856194,<__main__.DecisionTree object at 0x7f950cae8520>,False
5,0.5,hard,0.7267305433842605,0.7165401112570914,"Layer: [in:13] [out:1] [activation:Linear]
",True
