num_estimator,frac,voting,train_acc,val_acc
1,0.25,soft,0.7177242888402626,0.6724890829694323
28,1.0,hard,0.7571115973741794,0.6724890829694323
4,0.25,hard,0.7407002188183808,0.6724890829694323
4,0.25,soft,0.74945295404814,0.6681222707423581
1,0.5,soft,0.7013129102844639,0.6593886462882096
1,0.75,soft,0.7013129102844639,0.6593886462882096
7,0.75,hard,0.7155361050328227,0.6375545851528385
1,0.5,soft,0.712253829321663,0.6157205240174672
1,0.75,hard,0.7045951859956237,0.6026200873362445
4,1.0,hard,0.7024070021881839,0.5982532751091703
1,0.15,soft,0.6411378555798687,0.5764192139737991
